No.                      TimeTemperature°C
 1              2020/4/5 1:20:49      23.3
 2              2020/4/5 1:21:19      23.3
 3              2020/4/5 1:21:49      23.4
 4              2020/4/5 1:22:19      23.4
 5              2020/4/5 1:22:49      23.4
 6              2020/4/5 1:23:19      23.4
 7              2020/4/5 1:23:49      23.5
 8              2020/4/5 1:24:19      23.5
 9              2020/4/5 1:24:49      23.5
10              2020/4/5 1:25:19      23.5
11              2020/4/5 1:25:49      23.5
12              2020/4/5 1:26:19      23.5
13              2020/4/5 1:26:49      23.5
14              2020/4/5 1:27:19      23.5
15              2020/4/5 1:27:49      23.5
16              2020/4/5 1:28:19      23.5
17              2020/4/5 1:28:49      23.5
18              2020/4/5 1:29:19      23.5
19              2020/4/5 1:29:49      23.4
20              2020/4/5 1:30:19      23.4
21              2020/4/5 1:30:49      23.4
22              2020/4/5 1:31:19      23.4
23              2020/4/5 1:31:49      23.4
24              2020/4/5 1:32:19      23.4
25              2020/4/5 1:32:49      23.4
26              2020/4/5 1:33:19      23.4
27              2020/4/5 1:33:49      23.4
28              2020/4/5 1:34:19      23.4
29              2020/4/5 1:34:49      23.4
30              2020/4/5 1:35:19      23.4
31              2020/4/5 1:35:49      23.4
32              2020/4/5 1:36:19      23.4
33              2020/4/5 1:36:49      23.4
34              2020/4/5 1:37:19      23.4
35              2020/4/5 1:37:49      23.4
36              2020/4/5 1:38:19      23.4
37              2020/4/5 1:38:49      23.4
38              2020/4/5 1:39:19      23.4
39              2020/4/5 1:39:49      23.4
40              2020/4/5 1:40:19      23.3
41              2020/4/5 1:40:49      23.3
42              2020/4/5 1:41:19      23.3
43              2020/4/5 1:41:49      23.3
44              2020/4/5 1:42:19      23.3
45              2020/4/5 1:42:49      23.3
46              2020/4/5 1:43:19      23.3
47              2020/4/5 1:43:49      23.3
48              2020/4/5 1:44:19      23.3
49              2020/4/5 1:44:49      23.3
50              2020/4/5 1:45:19      23.3
51              2020/4/5 1:45:49      23.3
52              2020/4/5 1:46:19      23.3
53              2020/4/5 1:46:49      23.3
54              2020/4/5 1:47:19      23.3
55              2020/4/5 1:47:49      23.3
56              2020/4/5 1:48:19      23.3
57              2020/4/5 1:48:49      23.3
58              2020/4/5 1:49:19      23.2
59              2020/4/5 1:49:49      23.2
60              2020/4/5 1:50:19      23.2
61              2020/4/5 1:50:49      23.2
62              2020/4/5 1:51:19      23.2
63              2020/4/5 1:51:49      23.2
64              2020/4/5 1:52:19      23.2
65              2020/4/5 1:52:49      23.2
66              2020/4/5 1:53:19      23.2
67              2020/4/5 1:53:49      23.2
68              2020/4/5 1:54:19      23.2
69              2020/4/5 1:54:49      23.2
70              2020/4/5 1:55:19      23.2
71              2020/4/5 1:55:49      23.2
72              2020/4/5 1:56:19      23.2
73              2020/4/5 1:56:49      23.2
74              2020/4/5 1:57:19      23.2
75              2020/4/5 1:57:49      23.2
76              2020/4/5 1:58:19      23.2
77              2020/4/5 1:58:49      23.2
78              2020/4/5 1:59:19      23.2
79              2020/4/5 1:59:49      23.2
80              2020/4/5 2:00:19      23.2
81              2020/4/5 2:00:49      23.2
82              2020/4/5 2:01:19      23.2
83              2020/4/5 2:01:49      23.2
84              2020/4/5 2:02:19      23.2
85              2020/4/5 2:02:49      23.2
86              2020/4/5 2:03:19      23.2
87              2020/4/5 2:03:49      23.2
88              2020/4/5 2:04:19      23.2
89              2020/4/5 2:04:49      23.2
90              2020/4/5 2:05:19      23.2
91              2020/4/5 2:05:49      23.2
92              2020/4/5 2:06:19      23.2
93              2020/4/5 2:06:49      23.2
94              2020/4/5 2:07:19      23.2
95              2020/4/5 2:07:49      23.2
96              2020/4/5 2:08:19      23.2
97              2020/4/5 2:08:49      23.2
98              2020/4/5 2:09:19      23.2
99              2020/4/5 2:09:49      23.2
100              2020/4/5 2:10:19      23.2
101              2020/4/5 2:10:49      23.2
102              2020/4/5 2:11:19      23.2
103              2020/4/5 2:11:49      23.2
104              2020/4/5 2:12:19      23.2
105              2020/4/5 2:12:49      23.2
106              2020/4/5 2:13:19      23.2
107              2020/4/5 2:13:49      23.2
108              2020/4/5 2:14:19      23.2
109              2020/4/5 2:14:49      23.2
110              2020/4/5 2:15:19      23.2
111              2020/4/5 2:15:49      23.2
112              2020/4/5 2:16:19      23.2
113              2020/4/5 2:16:49      23.3
114              2020/4/5 2:17:19      23.3
115              2020/4/5 2:17:49      23.3
116              2020/4/5 2:18:19      23.3
117              2020/4/5 2:18:49      23.3
118              2020/4/5 2:19:19      23.3
119              2020/4/5 2:19:49      23.3
120              2020/4/5 2:20:19      23.3
121              2020/4/5 2:20:49      23.3
122              2020/4/5 2:21:19      23.3
123              2020/4/5 2:21:49      23.3
124              2020/4/5 2:22:19      23.3
125              2020/4/5 2:22:49      23.3
126              2020/4/5 2:23:19      23.3
127              2020/4/5 2:23:49      23.3
128              2020/4/5 2:24:19      23.3
129              2020/4/5 2:24:49      23.3
130              2020/4/5 2:25:19      23.3
131              2020/4/5 2:25:49      23.4
132              2020/4/5 2:26:19      23.4
133              2020/4/5 2:26:49      23.4
134              2020/4/5 2:27:19      23.4
135              2020/4/5 2:27:49      23.4
136              2020/4/5 2:28:19      23.4
137              2020/4/5 2:28:49      23.4
138              2020/4/5 2:29:19      23.4
139              2020/4/5 2:29:49      23.4
140              2020/4/5 2:30:19      23.4
141              2020/4/5 2:30:49      23.4
142              2020/4/5 2:31:19      23.4
143              2020/4/5 2:31:49      23.4
144              2020/4/5 2:32:19      23.4
145              2020/4/5 2:32:49      23.4
146              2020/4/5 2:33:19      23.4
147              2020/4/5 2:33:49      23.4
148              2020/4/5 2:34:19      23.4
149              2020/4/5 2:34:49      23.4
150              2020/4/5 2:35:19      23.4
151              2020/4/5 2:35:49      23.4
